Trajectories
100
,,liang:UpperBody1,,,liang:UpperBody2,,,liang:UpperBody3,,,liang:UpperBody4,,,liang:UpperBody5,,,liang:UpperBody6,,,liang:UpperBody7,,,liang:UpperArmLeft1,,,liang:UpperArmLeft2,,,liang:UpperArmLeft3,,,liang:UpperArmRight1,,,liang:UpperArmRight2,,,liang:UpperArmRight3,,,liang:LowerArmRight2,,,liang:LowerArmRight3,,,liang:LowerArmLeft2,,,liang:LowerArmLeft3,,,liang:Head1,,,liang:Head2,,,liang:ThighLeft2,,,liang:ThighLeft3,,,liang:ThighLeft4,,,liang:ThighRight2,,,liang:ThighRight3,,,liang:ThighRight4,,,liang:LowerLegRight3,,,liang:LowerLegRight4,,,liang:LowerLegLeft3,,,liang:LowerLegLeft4,,,liang:FeetLeft2,,,liang:FeetLeft3,,,liang:FeetRight2,,,liang:FeetRight3,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-304.747,2.15663,1474.49,-82.3757,52.584,1492.7,-163.725,-7.36609,1437.39,-224.709,213.116,1333.11,-151.575,-39.0474,1304.34,-375.22,48.374,1020.1,-20.2406,127.951,1005.98,-390.278,115.786,1536.82,-499.908,11.5151,1566.13,-563.097,-98.5279,1676.17,-54.7891,189.146,1540.42,82.6994,154.363,1623.19,176.341,93.414,1721.03,187.192,62.141,1834.61,219.77,-16.0164,1965.17,-557.695,-98.8904,1794.6,-525.079,-156.788,1927.31,-209.571,-43.8924,1743.84,-103.173,-15.0406,1747.25,-394.196,-13.2475,776.078,-360.066,26.8511,483.142,-267.081,4.13108,474.422,29.033,92.2462,755.688,6.62521,80.4443,484.402,-77.9107,35.339,466.756,16.3355,177.605,336.071,2.62206,176.119,57.9031,-393.753,83.1284,308.254,-382.251,126.117,65.5545,-392.632,-0.695793,18.4711,-328.435,193.863,18.8641,85.9892,51.2179,18.2297,-49.0245,214.935,19.9968
2,0,-304.746,2.09741,1474.45,-82.3422,52.5255,1492.7,-163.676,-7.37577,1437.4,-224.764,213.079,1333.15,-151.025,-39.0085,1304.19,-375.179,48.3539,1020.11,-20.1869,127.849,1006.04,-390.26,115.671,1536.81,-499.861,11.4954,1566.11,-563.021,-98.6095,1676.13,-54.7986,189.113,1540.43,82.6867,154.299,1623.2,176.347,93.311,1721.05,187.237,62.0795,1834.65,219.688,-16.1496,1965.27,-557.67,-99.023,1794.51,-525.04,-156.889,1927.29,-209.652,-43.9738,1743.84,-103.159,-15.0893,1747.21,-394.208,-13.2466,776.063,-360.135,26.8007,483.163,-269.026,5.06473,473.923,28.9449,92.1799,755.631,6.66142,80.4391,484.412,-77.843,35.2897,466.782,16.3489,177.523,336.087,2.65707,176.125,57.9282,-393.75,83.1766,308.26,-382.306,126.18,65.5831,-392.647,-0.701537,18.4699,-328.452,193.84,18.9399,86.1077,51.2723,18.2611,-48.9976,214.92,20.0149
3,0,-304.75,2.02807,1474.49,-82.3406,52.4756,1492.71,-163.616,-7.42003,1437.38,-224.707,213.021,1333.18,-151.023,-38.9731,1304.17,-375.107,48.2979,1020.14,-20.0976,127.772,1006.07,-390.274,115.612,1536.87,-499.852,11.4429,1566.1,-563.047,-98.6512,1676.13,-54.9177,189.021,1540.43,82.7116,154.32,1623.2,176.449,93.1959,1721.17,187.219,61.996,1834.7,219.878,-16.3881,1965.9,-557.583,-99.1419,1794.51,-524.991,-157.018,1927.23,-209.65,-44.0477,1743.82,-103.181,-15.1987,1747.2,-394.185,-13.2601,776.081,-360.138,26.7158,483.175,-269.067,5.00078,473.913,28.998,92.0899,755.674,6.69198,80.4199,484.461,-77.9107,35.339,466.756,16.3537,177.51,336.116,2.64558,176.136,57.9761,-393.718,83.171,308.264,-381.783,126.182,65.6079,-392.656,-0.690433,18.5079,-328.474,193.837,18.9274,85.9645,51.2169,18.1738,-49.0653,214.904,19.9841
4,0,-304.697,1.97886,1474.48,-82.2979,52.4015,1492.69,-163.641,-7.498,1437.35,-224.762,212.978,1333.16,-151.014,-38.9743,1304.1,-375.134,48.2982,1020.1,-20.1187,127.685,1006.08,-390.286,115.548,1536.86,-499.823,11.416,1566.06,-563.038,-98.7638,1676.1,-54.9376,188.922,1540.45,82.7171,154.24,1623.21,176.437,93.071,1721.16,187.103,61.9034,1834.67,219.768,-16.5455,1965.9,-555.602,-97.2702,1794.38,-524.925,-157.142,1927.16,-209.625,-44.1102,1743.78,-103.08,-15.2297,1747.23,-394.172,-13.2605,776.075,-360.156,26.7258,483.188,-268.976,4.97958,473.912,29.0158,92.0274,755.659,6.73441,80.4235,484.455,-77.8249,35.2722,466.816,16.3497,177.468,336.105,2.62362,176.15,57.9709,-393.74,83.1554,308.288,-382.251,126.117,65.5545,-392.655,-0.665488,18.4926,-328.462,193.836,18.9403,85.9894,51.2181,18.2298,-49.0289,214.899,20.0105
5,0,-304.646,1.89663,1474.42,-82.294,52.3991,1492.61,-163.757,-7.51125,1437.26,-224.785,212.883,1333.13,-151.252,-38.9517,1304.13,-375.046,48.2945,1020.06,-20.1183,127.639,1006.06,-390.237,115.522,1536.78,-499.781,11.3846,1565.99,-562.986,-98.8863,1676.05,-54.9308,188.873,1540.4,82.6997,154.232,1623.18,176.486,93.0066,1721.17,187.009,61.7908,1834.63,219.641,-16.6616,1965.85,-555.57,-97.4352,1794.29,-524.848,-157.222,1927.06,-209.617,-44.1027,1743.74,-103.102,-15.3345,1747.21,-394.19,-13.2859,776.035,-360.063,26.7659,483.162,-268.832,4.8886,473.906,29.0256,91.8878,755.653,6.81882,80.4485,484.516,-77.8192,35.3583,466.697,16.354,177.398,336.066,2.62894,176.112,57.9097,-393.711,83.1969,308.281,-381.806,126.133,65.6099,-392.675,-0.702061,18.5195,-328.407,193.854,18.9887,86.0763,51.2616,18.254,-49.0205,214.921,20.0357
6,0,-304.647,1.84199,1474.39,-82.2447,52.3641,1492.62,-163.628,-7.57645,1437.21,-224.801,212.862,1333.04,-151.139,-39.0258,1304.02,-375.039,48.2289,1019.99,-20.0612,127.624,1006.05,-390.233,115.409,1536.69,-499.722,11.3447,1565.92,-562.962,-98.9802,1675.99,-54.8962,188.792,1540.37,82.6937,154.193,1623.12,176.286,93.0004,1721.02,186.868,61.6818,1834.61,219.575,-16.7968,1965.75,-555.522,-97.5954,1794.17,-524.763,-157.34,1926.93,-209.544,-44.1275,1743.69,-103.081,-15.399,1747.17,-394.176,-13.2994,775.958,-360.125,26.7287,483.124,-268.799,4.89863,473.842,29.0684,91.7813,755.651,6.87088,80.3545,484.5,-77.8717,35.3242,466.679,16.3242,177.36,336.046,2.59863,176.078,57.9665,-393.702,83.1999,308.279,-381.802,126.207,65.6251,-392.674,-0.694201,18.5131,-328.46,193.831,18.9699,85.9632,51.2481,18.208,-49.0764,214.889,19.9765
7,0,-304.573,1.80665,1474.32,-82.2537,52.3462,1492.54,-163.763,-7.48943,1437.15,-224.759,212.811,1332.96,-151.229,-39.116,1304.01,-375.008,48.1864,1019.99,-20.0802,127.609,1006.02,-390.261,115.342,1536.62,-499.652,11.2849,1565.88,-562.929,-99.1626,1675.96,-54.8861,188.682,1540.29,82.7224,154.166,1623.1,176.383,92.8499,1721.08,186.764,61.6221,1834.55,219.523,-16.8612,1965.77,-555.584,-97.7406,1794.12,-524.765,-157.439,1926.86,-209.591,-44.1724,1743.61,-103.014,-15.4604,1747.12,-394.158,-13.3566,775.96,-360.113,26.7378,483.113,-268.77,4.87186,473.815,29.1159,91.6761,755.627,6.89575,80.2821,484.456,-77.8264,35.3943,466.597,16.3026,177.339,336.017,2.574,176.098,57.9041,-393.67,83.1368,308.257,-381.81,126.147,65.6243,-392.659,-0.717867,18.4549,-328.46,193.828,18.9751,85.9487,51.2312,18.1969,-49.1261,214.863,19.9643
8,0,-304.523,1.79991,1474.31,-82.2543,52.2604,1492.53,-163.707,-7.60796,1437.15,-224.785,212.725,1332.92,-151.316,-39.1874,1304.01,-375.005,48.194,1019.91,-20.074,127.565,1005.99,-390.232,115.269,1536.59,-499.529,11.2373,1565.8,-562.902,-99.2721,1675.91,-54.9594,188.583,1540.24,82.6681,154.11,1623.1,176.221,92.8356,1720.99,186.679,61.5335,1834.58,219.402,-17.117,1965.77,-555.551,-97.8645,1794.07,-524.674,-157.586,1926.78,-209.492,-44.1837,1743.56,-103.011,-15.5824,1747.1,-394.114,-13.3438,775.898,-360.08,26.7271,483.052,-268.776,4.86589,473.796,29.1377,91.6327,755.621,6.94979,80.2013,484.449,-77.752,35.3443,466.588,16.281,177.253,335.98,2.5678,176.071,57.9554,-393.673,83.1111,308.287,-381.795,126.175,65.5895,-392.648,-0.687243,18.4794,-328.443,193.777,18.9505,85.9607,51.188,18.2203,-49.1763,214.878,19.9173
9,0,-304.54,1.70496,1474.24,-82.2448,52.2296,1492.48,-163.745,-7.71355,1437.11,-224.82,212.668,1332.87,-151.246,-39.2765,1303.95,-374.927,48.1399,1019.87,-20.066,127.541,1005.95,-390.23,115.187,1536.55,-499.501,11.1346,1565.71,-562.944,-99.4076,1675.85,-54.9797,188.468,1540.19,82.6716,154.066,1623.06,176.261,92.6966,1721.02,186.455,61.3157,1834.53,219.365,-17.2852,1965.72,-555.573,-97.9638,1794.06,-524.621,-157.785,1926.7,-209.404,-44.1138,1743.5,-102.995,-15.6666,1747.06,-394.035,-13.3966,775.871,-360.043,26.7283,483.036,-268.706,4.8436,473.777,29.1446,91.5877,755.587,6.97221,80.1414,484.425,-77.6668,35.3625,466.653,16.2787,177.271,335.966,2.57444,176.064,57.9466,-393.636,83.1498,308.255,-381.733,126.15,65.6139,-392.648,-0.718025,18.4727,-328.387,193.812,18.9422,85.8704,51.2005,18.1681,-49.0543,214.929,20.0002
