Trajectories
100
,,lirui:UpperBody1_Neck,,,lirui:UpperBody2_BackLeft,,,lirui:UpperBody3_BackRight,,,lirui:UpperBody4_BackSpine,,,lirui:UpperBody5_BeltRight,,,lirui:UpperBody6_BeltLeft,,,lirui:Head1_BackMiddle,,,lirui:Head2_BackLeft,,,lirui:Head3_BackRight,,,lirui:UpperArmLeft1_Shoulder,,,lirui:UpperArmLeft2_middle,,,lirui:UpperArmLeft3_ElbowUp,,,lirui:UpperArmLeft4_ElbowDown,,,lirui:UpperArmRight1_Shoulder,,,lirui:UpperArmRight2_middle,,,lirui:UpperArmRight3_ElbowUp,,,lirui:UpperArmRight4_ElbowDown,,,lirui:LowerArmRight3_middle,,,lirui:LowerArmRight4_Wrist,,,lirui:LowerArmLeft3_middle,,,lirui:LowerArmLeft4_Wrist,,,lirui:HandLeft2_Out,,,lirui:HandLeft3_In,,,lirui:HandRight2_Out,,,lirui:HandRight3_In,,,lirui:ThighRight1_PocketRight,,,lirui:ThighRight2_middle,,,lirui:ThighRight3_KneeBackOut,,,lirui:ThighRight4_KneeBackIn,,,lirui:ThighLeft1_PocketLeft,,,lirui:ThighLeft2_middle,,,lirui:ThighLeft3_KneeBackOut,,,lirui:ThighLeft4_KneeBackIn,,,lirui:LowerLegLeft3_middle,,,lirui:LowerLegLeft4_AnkleIn,,,lirui:LowerLegLeft5_AnkleOut,,,lirui:LowerLegRight3_middle,,,lirui:LowerLegRight4_AnkleOut,,,lirui:LowerLegRight5_AnkleIn,,,lirui:FootRight1_Heel,,,lirui:FootRight4_FootSide,,,lirui:FootLeft1_Heel,,,lirui:FootLeft4_FootSide,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,403.203,24.5716,181.321,382.086,129.007,162.595,382.65,-95.3991,147.147,235.284,31.8816,194.547,-73.1936,-164.368,103.242,-89.4081,144.336,100.561,567.085,24.7224,194.162,563.558,91.2939,179.728,568.544,-24.7844,167.242,336.334,243.642,150.701,243.933,275,127.625,179.852,393.251,58.975,197.858,425.048,47.37,363.322,-185.929,144.857,273.051,-221.606,123.517,188.1,-353.944,70.3718,185.464,-388.927,42.1915,319.463,-341.844,36.9659,401.842,-296.995,33.8181,328.233,374.019,42.4566,401.359,345.711,30.705,467.894,338.803,25.3424,468.881,279.242,28.469,463.384,-290.069,23.6152,465.002,-237.315,36.7651,-188.597,-149.31,163.62,-353.248,-191.929,82.3716,-583.353,-174.605,52.0856,-576.713,-93.7216,91.9653,-207.897,109.807,163.77,-372.081,150.706,91.235,-581.41,122.922,63.1512,-576.112,52.6367,100.377,-745.349,137.171,87.7734,-992.462,29.7889,64.4928,-986.706,95.2289,106.363,-759.86,-186.084,101.181,-982.824,-174.238,103.273,-994.116,-89.3282,84.134,-978.163,-124.052,166.043,,,,-980.476,45.2957,139.98,-1096.2,130.006,58.9237
2,0,403.187,24.5709,181.296,382.099,128.981,162.564,382.617,-95.4111,147.134,235.291,31.8649,194.511,-73.1863,-164.38,103.216,-89.3906,144.36,100.578,567.081,24.7263,194.143,563.565,91.2784,179.684,568.573,-24.7746,167.246,336.339,243.628,150.671,243.968,274.973,127.584,179.892,393.242,58.9428,197.843,425.106,47.4002,363.297,-185.927,144.837,273.075,-221.656,123.482,188.095,-353.925,70.3711,185.5,-388.921,42.2226,319.377,-341.838,36.9207,401.86,-296.973,33.8292,328.212,374.039,42.4374,401.361,345.692,30.7173,467.886,338.784,25.3183,468.863,279.219,28.4565,463.403,-290.031,23.6451,465.007,-237.289,36.7327,-188.596,-149.325,163.626,-353.855,-191.803,82.5183,-583.344,-174.626,52.1119,-576.718,-93.6942,91.9637,-207.921,109.788,163.754,-372.12,150.725,91.2245,-581.436,122.934,63.0859,-576.138,52.6005,100.358,-745.367,137.147,87.7608,-992.425,29.8112,64.4784,-986.784,95.2587,106.341,-759.886,-186.152,101.086,-982.771,-174.272,103.308,-994.116,-89.3282,84.134,-978.133,-124.051,166.03,,,,-980.412,45.3133,139.963,-1096.22,129.997,58.8701
3,0,403.18,24.5717,181.279,382.12,129.016,162.573,382.757,-95.4159,147.235,235.278,31.885,194.55,-73.1462,-164.313,103.189,-89.3974,144.347,100.632,567.082,24.6824,194.151,563.576,91.2825,179.739,568.544,-24.8034,167.23,336.354,243.642,150.683,244.008,275.002,127.581,179.91,393.264,58.968,197.858,425.055,47.3691,363.35,-185.969,144.841,273.073,-221.645,123.473,188.129,-353.918,70.3446,185.418,-388.938,42.1547,319.386,-341.835,36.9227,401.871,-296.934,33.7967,328.241,374.02,42.423,401.366,345.707,30.6931,467.882,338.816,25.3419,468.863,279.219,28.4565,463.385,-290.073,23.6454,462.445,-238.509,34.9407,-188.599,-149.31,163.631,-353.894,-191.762,82.4806,-583.341,-174.628,52.108,-576.727,-93.6928,91.9858,-207.912,109.816,163.799,-372.138,150.708,91.2632,-581.451,122.959,63.1115,-576.111,52.657,100.387,-745.358,137.21,87.8361,-992.389,29.8818,64.5746,-986.784,95.2587,106.341,-759.918,-186.167,101.146,-982.713,-174.194,103.292,-994.116,-89.3282,84.134,-978.189,-124.103,166.019,,,,-980.41,45.3282,139.938,-1096.22,129.955,58.8832
4,0,403.221,24.5756,181.333,382.123,128.98,162.561,382.638,-95.4413,147.141,235.355,31.8981,194.592,-73.231,-164.403,103.259,-89.3911,144.355,100.684,567.098,24.687,194.144,563.541,91.2486,179.681,568.589,-24.7867,167.26,336.428,243.642,150.693,244.007,274.99,127.582,179.962,393.194,58.9261,197.852,425.059,47.3775,363.413,-185.931,144.904,273.066,-221.642,123.49,188.133,-353.948,70.3886,185.465,-388.909,42.2023,319.483,-341.831,36.99,401.933,-296.955,33.8544,328.254,374.014,42.4614,401.367,345.727,30.7126,467.919,338.798,25.3488,468.332,279.008,28.2611,463.359,-290.097,23.5902,462.399,-238.537,34.8589,-188.607,-149.338,163.664,-353.264,-192.019,82.3743,-583.361,-174.648,52.0944,-576.753,-93.738,91.9936,-207.93,109.827,163.815,-372.091,150.717,91.2721,-581.449,122.942,63.1269,-576.141,52.6264,100.371,-745.31,137.177,87.8001,-992.404,29.8118,64.5623,-986.784,95.2216,106.327,-759.898,-186.194,101.059,-982.773,-174.273,103.306,-994.118,-89.334,84.1336,-978.162,-124.07,166.034,,,,-980.453,45.3035,139.948,-1096.19,129.98,58.8885
5,0,403.179,24.5607,181.271,382.104,128.978,162.548,382.713,-95.4562,147.151,235.293,31.862,194.555,-73.192,-164.399,103.29,-89.3851,144.339,100.682,567.09,24.6922,194.15,563.534,91.2245,179.703,568.528,-24.8224,167.209,336.406,243.626,150.678,244.003,274.982,127.57,179.87,393.236,58.9777,197.841,425.032,47.3996,363.068,-186.101,144.602,273.061,-221.743,123.469,188.139,-353.949,70.4022,185.449,-388.986,42.1793,319.516,-341.837,37.025,401.786,-297,33.7769,328.217,374.011,42.42,401.36,345.7,30.7121,467.877,338.816,25.3286,468.845,279.23,28.4624,463.312,-290.119,23.5404,462.449,-238.501,34.9431,-188.644,-149.365,163.634,-353.876,-191.833,82.5555,-583.386,-174.653,52.1076,-576.758,-93.7493,91.9802,-207.939,109.811,163.832,-372.154,150.679,91.2682,-581.455,122.918,63.139,-576.141,52.6158,100.377,-745.289,137.177,87.7936,-992.497,29.8173,64.6175,-986.761,95.2475,106.353,-759.893,-186.196,101.036,-982.741,-174.193,103.273,-994.107,-89.3254,84.1443,-978.158,-124.084,166.002,,,,-980.482,45.3049,139.937,-1096.3,129.953,58.9098
6,0,403.21,24.5413,181.278,382.106,128.968,162.538,382.674,-95.4787,147.118,235.33,31.861,194.607,-73.1624,-164.4,103.368,-89.4235,144.283,100.701,567.058,24.656,194.12,563.532,91.2367,179.689,568.529,-24.826,167.198,336.375,243.616,150.669,243.988,274.99,127.614,179.9,393.245,59.0015,197.845,425.058,47.4288,363.062,-186.135,144.578,273.028,-221.755,123.437,188.139,-353.961,70.3929,185.458,-389.003,42.1873,319.506,-341.84,37.0194,401.731,-297.051,33.7227,328.203,373.999,42.4708,401.345,345.702,30.714,467.826,338.815,25.3293,468.323,279.006,28.2697,463.279,-290.134,23.5394,462.455,-238.508,34.9353,-188.628,-149.383,163.699,-353.823,-191.858,82.5395,-583.346,-174.672,52.1587,-576.73,-93.7627,91.9637,-207.963,109.781,163.826,-372.16,150.694,91.2404,-581.484,122.878,63.1246,-576.131,52.604,100.371,-745.291,137.161,87.7714,-991.666,28.6522,70.5271,-986.706,95.2866,106.404,-759.916,-186.243,101.048,-982.811,-174.333,103.277,-994.076,-89.3512,84.146,-978.165,-124.084,165.996,,,,-980.401,45.2994,139.967,-1096.19,129.998,58.9609
7,0,403.124,24.5279,181.251,382.079,128.942,162.524,382.676,-95.4826,147.113,235.34,31.8656,194.63,-73.1312,-164.399,103.398,-89.4035,144.292,100.732,567.033,24.6363,194.099,563.478,91.1952,179.65,568.552,-24.8477,167.211,336.34,243.626,150.641,243.989,274.98,127.585,179.883,393.243,58.9731,197.836,425.074,47.3873,363.101,-186.135,144.566,273.074,-221.739,123.431,188.165,-353.956,70.4087,185.442,-389.017,42.1367,319.392,-341.843,36.8915,401.678,-297.069,33.6531,328.168,373.993,42.4163,401.331,345.698,30.7082,467.841,338.804,25.3181,468.76,279.18,28.435,463.25,-290.142,23.5055,462.479,-238.493,34.9094,-188.65,-149.42,163.655,-353.689,-191.835,82.4885,-583.362,-174.72,52.1821,-576.728,-93.7693,91.9505,-207.965,109.79,163.831,-372.115,150.679,91.2356,-581.417,122.881,63.0885,-576.149,52.5764,100.355,-745.288,137.145,87.8132,-992.537,29.9588,64.6411,-986.692,95.2994,106.396,-759.92,-186.325,100.931,-982.799,-174.304,103.271,-994.088,-89.3127,84.1601,-978.189,-124.124,165.983,,,,-980.454,45.2894,139.934,-1096.24,130.014,58.9091
8,0,403.196,24.5464,181.301,382.095,128.912,162.512,382.689,-95.4738,147.125,235.305,31.8681,194.599,-73.0911,-164.415,103.469,-89.3925,144.273,100.774,567.047,24.6434,194.079,563.494,91.2411,179.623,568.582,-24.8357,167.22,336.347,243.6,150.639,243.982,275.027,127.648,179.852,393.232,59.014,197.823,425.071,47.4366,363.077,-186.167,144.521,273.024,-221.779,123.346,188.203,-353.929,70.3938,185.44,-389.033,42.1553,319.429,-341.858,36.9514,401.639,-297.089,33.6517,328.153,373.983,42.4103,401.309,345.707,30.6947,467.848,338.825,25.3297,468.752,279.195,28.4436,463.174,-290.194,23.4558,462.518,-238.472,34.9444,-188.691,-149.437,163.682,-353.213,-191.962,82.3648,-583.361,-174.711,52.2382,-576.726,-93.7603,91.9224,-207.971,109.776,163.822,-372.098,150.635,91.2414,-581.419,122.945,63.1666,-576.114,52.5786,100.364,-745.28,137.135,87.7848,-991.75,28.5707,70.4592,-986.721,95.3023,106.432,-759.948,-186.33,100.937,-982.752,-174.329,103.227,-994.125,-89.3401,84.1848,-978.18,-124.131,165.973,,,,-980.441,45.2671,139.961,-1096.2,129.995,58.9388
9,0,403.137,24.5019,181.265,382.068,128.926,162.503,382.654,-95.4893,147.096,235.296,31.8614,194.618,-73.0729,-164.399,103.494,-89.408,144.273,100.793,567.039,24.643,194.078,563.456,91.1944,179.617,568.533,-24.8348,167.166,336.292,243.593,150.62,244.001,275.029,127.606,179.838,393.231,59.033,197.769,425.097,47.4017,363.255,-186.138,144.67,273.033,-221.763,123.317,188.192,-353.91,70.3969,185.391,-389.035,42.1515,319.448,-341.87,36.9731,401.59,-297.089,33.6134,328.122,373.973,42.4426,401.295,345.706,30.6963,467.801,338.776,25.3167,468.282,278.972,28.2615,463.116,-290.211,23.3611,462.441,-238.474,34.8895,-188.698,-149.451,163.686,-353.259,-192.017,82.3812,-583.424,-174.739,52.2074,-576.73,-93.7626,91.9232,-208.015,109.771,163.823,-372.109,150.644,91.2158,-581.442,122.897,63.1142,-576.135,52.5904,100.381,-745.265,137.101,87.7711,-991.741,28.6094,70.4138,-986.688,95.2666,106.434,-759.986,-186.365,100.834,-982.813,-174.315,103.263,-994.096,-89.3882,84.1591,-978.201,-124.191,165.941,,,,-980.438,45.2495,139.944,-1096.22,129.997,58.9048
